Date,Adj Close,Volume,NIFTY Open,Stock Open price
7/13/2016,234.638199,5786608,8540.450195,240.100006
7/14/2016,237.846985,2462502,8515.75,242
7/15/2016,232.515457,1017625,8565.450195,237.449997
7/18/2016,233.157196,817828,8564.049805,237
7/19/2016,235.822998,696881,8514.299805,240.600006
7/20/2016,245.350693,2421482,8515.450195,250.949997
7/21/2016,248.411407,1691581,8582.700195,251
7/22/2016,245.301315,902393,8519.650391,248.800003
7/25/2016,252.113892,1555858,8519.950195,257.899994
7/26/2016,247.226608,1284899,8633.75,252.699997
7/27/2016,250.040497,1031348,8599.400391,254.550003
7/28/2016,256.161926,5786043,8636.950195,260.649994
7/29/2016,259.173279,2877199,8668.299805,264.950012
8/1/2016,255.322678,1484989,8654.299805,260
8/2/2016,264.603546,2637231,8647.450195,268.700012
8/3/2016,262.233948,1079733,8635.200195,268
8/4/2016,259.173279,1189169,8599.950195,264.100006
8/5/2016,260.259338,598561,8600.200195,265.600006
8/8/2016,258.235291,525289,8712.849609,262.799988
8/9/2016,257.642914,698585,8727.799805,262
8/10/2016,256.704926,991642,8686.700195,260.950012
8/11/2016,301.134674,13075362,8572.799805,304
8/12/2016,295.803101,6365901,null,300.799988
8/16/2016,301.134674,3969531,8670.25,306.299988
8/17/2016,308.194031,2421199,8639.799805,314.899994
8/18/2016,309.47757,1938737,8648.849609,314
8/19/2016,301.875122,1120128,8694.299805,307.100006
8/22/2016,311.995209,4251875,8667,316.399994
8/23/2016,322.707733,4964057,8628.349609,328
8/24/2016,313.624329,2520706,8648.5,319
8/25/2016,325.27478,4395322,8668.849609,329
8/26/2016,318.610352,1431589,8614.349609,323.200012
8/29/2016,317.079987,1275052,8583.75,322.399994
8/30/2016,322.065979,1602734,8646.75,328.5
8/31/2016,321.3255,2194443,8754.049805,326.399994
9/1/2016,326.212738,2629514,8793.599609,332.399994
9/2/2016,328.286102,1495485,8796.349609,333.799988
9/6/2016,329.569641,1061981,8852.700195,335.25
9/7/2016,333.222778,1919666,8968.700195,338.700012
9/8/2016,339.068817,1188552,8915.5,342.950012
9/9/2016,363.344635,7203999,8934.299805,354.100006
9/12/2016,348.432281,3125540,8732.950195,350.600006
9/14/2016,349.472717,1483791,8710.650391,354.850006
9/15/2016,342.487183,1245246,8743.849609,347.850006
9/16/2016,341.89267,1440088,8780.849609,348
9/19/2016,345.558807,1061089,8788.450195,351
9/20/2016,363.493225,5495696,8816.099609,366.899994
9/21/2016,366.019867,2788170,8790.299805,373.399994
9/22/2016,379.198212,3423748,8873.349609,383.75
9/23/2016,377.216492,1228047,8880.75,378
9/26/2016,371.667725,1138704,8807.900391,375.450012
9/27/2016,379.792694,3672759,8748.900391,384
9/28/2016,383.211121,1460179,8711.200195,388
9/29/2016,362.304199,3626931,8792.700195,365
9/30/2016,372.163147,1655898,8581.5,383.399994
